Step 0: Loss: 10.1438 | Avg: 10.1438
Step 10: Loss: 10.1689 | Avg: 10.1564
Step 20: Loss: 10.1455 | Avg: 10.1527
Step 30: Loss: 10.1816 | Avg: 10.1599
Step 40: Loss: 10.0992 | Avg: 10.1478
Step 50: Loss: 10.1609 | Avg: 10.1500
Step 60: Loss: 10.2324 | Avg: 10.1617
Step 70: Loss: 10.0989 | Avg: 10.1539
Step 80: Loss: 10.1035 | Avg: 10.1483
Step 90: Loss: 10.2382 | Avg: 10.1573
Step 100: Loss: 10.1650 | Avg: 10.1580
Step 110: Loss: 10.2302 | Avg: 10.1640
Step 120: Loss: 10.1931 | Avg: 10.1662
Step 130: Loss: 10.1482 | Avg: 10.1650
Step 140: Loss: 10.1957 | Avg: 10.1670
Step 150: Loss: 10.0969 | Avg: 10.1626
Step 160: Loss: 10.1230 | Avg: 10.1603
Step 170: Loss: 10.2169 | Avg: 10.1634
Step 180: Loss: 10.2544 | Avg: 10.1682
Step 190: Loss: 10.2205 | Avg: 10.1708
Step 200: Loss: 10.1607 | Avg: 10.1704
Step 210: Loss: 10.1482 | Avg: 10.1693
Step 220: Loss: 10.1572 | Avg: 10.1688
Eval Step 222: Train: 10.1723 | Val: 10.1600
Step 230: Loss: 10.1067 | Avg: 10.1662
Step 240: Loss: 10.1815 | Avg: 10.1668
Step 250: Loss: 10.1501 | Avg: 10.1662
Eval Step 250: Train: 10.1742 | Val: 10.1746
Step 260: Loss: 10.2255 | Avg: 10.1684
Step 270: Loss: 10.1956 | Avg: 10.1694
Step 280: Loss: 10.1287 | Avg: 10.1680
Step 290: Loss: 10.1912 | Avg: 10.1687
Step 300: Loss: 10.2318 | Avg: 10.1708
Step 310: Loss: 10.2237 | Avg: 10.1724
Step 320: Loss: 10.2420 | Avg: 10.1745
Step 330: Loss: 10.1960 | Avg: 10.1752
Step 340: Loss: 10.1592 | Avg: 10.1747
Step 350: Loss: 10.1994 | Avg: 10.1754
Step 360: Loss: 10.1390 | Avg: 10.1744
Step 370: Loss: 10.1407 | Avg: 10.1735
Step 380: Loss: 10.1814 | Avg: 10.1737
Step 390: Loss: 10.2352 | Avg: 10.1753
Step 400: Loss: 10.1482 | Avg: 10.1746
Step 410: Loss: 10.1770 | Avg: 10.1747
Step 420: Loss: 10.1713 | Avg: 10.1746
Step 430: Loss: 10.1620 | Avg: 10.1743
Step 440: Loss: 10.1883 | Avg: 10.1746
Step 450: Loss: 10.1949 | Avg: 10.1750
Eval Step 458: Train: 10.1748 | Val: 10.1760
Step 460: Loss: 10.1436 | Avg: 10.1744
Step 470: Loss: 10.2632 | Avg: 10.1762
Step 480: Loss: 10.1484 | Avg: 10.1757
Step 490: Loss: 10.1503 | Avg: 10.1752
Step 500: Loss: 10.1204 | Avg: 10.1741
Eval Step 500: Train: 10.1658 | Val: 10.1863
Step 510: Loss: 10.1770 | Avg: 10.1741
Step 520: Loss: 10.1671 | Avg: 10.1740
Step 530: Loss: 10.1779 | Avg: 10.1741
Step 540: Loss: 10.1428 | Avg: 10.1735
Step 550: Loss: 10.1468 | Avg: 10.1730
Step 560: Loss: 10.1520 | Avg: 10.1727
Step 570: Loss: 10.1811 | Avg: 10.1728
Step 580: Loss: 10.1808 | Avg: 10.1729
Step 590: Loss: 10.1763 | Avg: 10.1730
Step 600: Loss: 10.1389 | Avg: 10.1724
Step 610: Loss: 10.1551 | Avg: 10.1722
Step 620: Loss: 10.0326 | Avg: 10.1699
Step 630: Loss: 10.1057 | Avg: 10.1689
Step 640: Loss: 10.1931 | Avg: 10.1693
Step 650: Loss: 10.2265 | Avg: 10.1702
Step 660: Loss: 10.2280 | Avg: 10.1710
Step 670: Loss: 10.1117 | Avg: 10.1702
Step 680: Loss: 10.2067 | Avg: 10.1707
Step 690: Loss: 10.0725 | Avg: 10.1693
Step 700: Loss: 10.1628 | Avg: 10.1692
Eval Step 708: Train: 8.9301 | Val: 8.8732
Step 710: Loss: 8.9555 | Avg: 10.1523
Step 720: Loss: 9.1319 | Avg: 10.1384
Step 730: Loss: 8.9201 | Avg: 10.1219
Step 740: Loss: 8.7032 | Avg: 10.1030
Step 750: Loss: 8.5916 | Avg: 10.0831
Eval Step 750: Train: 8.6525 | Val: 8.6561
Step 760: Loss: 8.7428 | Avg: 10.0657
Step 770: Loss: 8.6697 | Avg: 10.0478
Step 780: Loss: 8.3067 | Avg: 10.0258
Step 790: Loss: 8.3229 | Avg: 10.0045
Step 800: Loss: 8.8082 | Avg: 9.9897
Step 810: Loss: 8.7540 | Avg: 9.9746
Step 820: Loss: 8.6477 | Avg: 9.9586
Step 830: Loss: 8.3497 | Avg: 9.9395
Step 840: Loss: 8.6469 | Avg: 9.9243
Step 850: Loss: 8.4185 | Avg: 9.9068
Step 860: Loss: 8.5739 | Avg: 9.8915
Step 870: Loss: 8.2420 | Avg: 9.8727
Step 880: Loss: 8.4875 | Avg: 9.8571
Step 890: Loss: 8.4446 | Avg: 9.8415
Step 900: Loss: 8.2941 | Avg: 9.8245
Step 910: Loss: 8.5085 | Avg: 9.8101
Step 920: Loss: 8.1315 | Avg: 9.7921
Step 930: Loss: 8.4595 | Avg: 9.7779
Step 940: Loss: 8.0715 | Avg: 9.7600
Eval Step 948: Train: 8.3963 | Val: 8.3498
Step 950: Loss: 8.2933 | Avg: 9.7447
Step 960: Loss: 8.3594 | Avg: 9.7304
Step 970: Loss: 8.1736 | Avg: 9.7145
Step 980: Loss: 8.7240 | Avg: 9.7045
Step 990: Loss: 8.3790 | Avg: 9.6913
Step 1000: Loss: 8.3982 | Avg: 9.6785
Eval Step 1000: Train: 8.2846 | Val: 8.3129
Safety checkpoint saved to safety_checkpoint_step_1000.pt
Step 1010: Loss: 8.0728 | Avg: 9.6627
Step 1020: Loss: 8.4951 | Avg: 9.6514
Step 1030: Loss: 8.1357 | Avg: 9.6368
Step 1040: Loss: 8.2921 | Avg: 9.6240
Step 1050: Loss: 8.4075 | Avg: 9.6125
Step 1060: Loss: 8.2666 | Avg: 9.5999
Step 1070: Loss: 8.4292 | Avg: 9.5891
Step 1080: Loss: 8.3151 | Avg: 9.5774
Step 1090: Loss: 8.1895 | Avg: 9.5648
Step 1100: Loss: 8.2262 | Avg: 9.5527
Step 1110: Loss: 8.3326 | Avg: 9.5418
Step 1120: Loss: 8.0877 | Avg: 9.5290
Step 1130: Loss: 8.1423 | Avg: 9.5168
Step 1140: Loss: 8.2090 | Avg: 9.5054
Step 1150: Loss: 8.2742 | Avg: 9.4948
Step 1160: Loss: 8.1745 | Avg: 9.4835
Step 1170: Loss: 7.9838 | Avg: 9.4708
Step 1180: Loss: 8.5477 | Avg: 9.4631
Step 1190: Loss: 8.1002 | Avg: 9.4517
Eval Step 1195: Train: 8.1095 | Val: 8.0717
Step 1200: Loss: 8.3343 | Avg: 9.4425
Step 1210: Loss: 8.1326 | Avg: 9.4317
Step 1220: Loss: 8.4364 | Avg: 9.4236
Step 1230: Loss: 7.8482 | Avg: 9.4109
Step 1240: Loss: 8.0101 | Avg: 9.3997
Step 1250: Loss: 7.7815 | Avg: 9.3869
Eval Step 1250: Train: 8.0389 | Val: 8.0173
Step 1260: Loss: 8.1450 | Avg: 9.3771
Step 1270: Loss: 8.0196 | Avg: 9.3665
Step 1280: Loss: 8.1735 | Avg: 9.3573
Step 1290: Loss: 8.1483 | Avg: 9.3480
Step 1300: Loss: 8.0978 | Avg: 9.3384
Step 1310: Loss: 8.2607 | Avg: 9.3303
Step 1320: Loss: 7.8918 | Avg: 9.3194
Step 1330: Loss: 7.8526 | Avg: 9.3085
Step 1340: Loss: 8.0541 | Avg: 9.2992
Step 1350: Loss: 7.8798 | Avg: 9.2888
