2025-04-08 19:05:40 - INFO - __main__ - [19:05:40] Starting training process...
2025-04-08 19:05:40 - INFO - __main__ - Environment variables set
2025-04-08 19:05:42 - INFO - __main__ - CUDA device: NVIDIA GeForce RTX 4050 Laptop GPU
2025-04-08 19:05:42 - INFO - __main__ - Total memory: 6.44 GB
2025-04-08 19:05:42 - INFO - __main__ - [19:05:42] Checking memory requirements...
2025-04-08 19:05:42 - INFO - __main__ - Starting dataset loading...
2025-04-08 19:05:42 - INFO - __main__ - [19:05:42] Loading wikipedia dataset...
2025-04-08 19:05:45 - INFO - __main__ - [19:05:45] Limiting wikipedia dataset to 500,000 samples
2025-04-08 19:05:45 - INFO - __main__ - [19:05:45] Successfully loaded wikipedia dataset with 500,000 samples
2025-04-08 19:05:45 - INFO - __main__ - [19:05:45] Added Wikipedia dataset to collection
2025-04-08 19:05:45 - INFO - __main__ - [19:05:45] Loading bookcorpus dataset...
2025-04-08 19:05:48 - INFO - __main__ - [19:05:48] Limiting bookcorpus dataset to 500,000 samples
2025-04-08 19:05:48 - INFO - __main__ - [19:05:48] Successfully loaded bookcorpus dataset with 500,000 samples
2025-04-08 19:05:48 - INFO - __main__ - [19:05:48] Added BookCorpus dataset to collection
2025-04-08 19:05:48 - INFO - __main__ - [19:05:48] Starting dataset processing...
2025-04-08 19:05:48 - INFO - __main__ - [19:05:48] Processing dataset 1/2
2025-04-08 19:05:53 - INFO - __main__ - [19:05:53] Processed 125,837/1,000,000 examples (12.58%)
2025-04-08 19:05:58 - INFO - __main__ - [19:05:58] Processed 262,757/1,000,000 examples (26.28%)
2025-04-08 19:06:03 - INFO - __main__ - [19:06:03] Processed 419,272/1,000,000 examples (41.93%)
2025-04-08 19:06:06 - INFO - __main__ - [19:06:06] Processing dataset 2/2
2025-04-08 19:06:08 - INFO - __main__ - [19:06:08] Processed 805,511/1,000,000 examples (80.55%)
2025-04-08 19:06:10 - INFO - __main__ - [19:06:10] Dataset loading complete. Loaded 1,000,000 examples, ~512,000,000 tokens
2025-04-08 19:06:10 - INFO - __main__ - Data Loading took 28.71 seconds
2025-04-08 19:06:10 - INFO - __main__ - [19:06:10] Starting tokenizer training...
2025-04-08 19:08:13 - INFO - __main__ - Custom tokenizer trained and saved
2025-04-08 19:08:14 - INFO - __main__ - [19:08:14] Tokenizer training complete
2025-04-08 19:08:14 - INFO - __main__ - Tokenizer Training took 123.12 seconds
2025-04-08 19:08:14 - INFO - __main__ - [19:08:14] Starting model initialization...
2025-04-08 19:08:42 - INFO - __main__ - Total trainable parameters: 3,669,143,040
2025-04-08 19:08:42 - WARNING - __main__ - [19:08:42] Model size 3,669,143,040 is outside the 4-5B range
2025-04-08 19:08:42 - INFO - __main__ - [19:08:42] Moving model to device and applying optimizations...
2025-04-08 19:08:49 - INFO - __main__ - Model Initialization took 35.64 seconds
2025-04-08 19:08:49 - INFO - __main__ - [19:08:49] Creating dataset and dataloader...
2025-04-08 19:08:49 - INFO - __main__ - [19:08:49] Starting SimpleDataset initialization with 1,000,000 examples
2025-04-08 19:08:54 - INFO - __main__ - [19:08:54] Processed 836/1,000,000 examples (0.08%)
